title,sub-title,author,date,url,section,text
O manuscrito de ‘Cem anos de solidão’ que García Márquez acreditava ter se perdido,México guarda cópia datilografada da grande obra do escritor colombiano.,Anna Lagos,2019-03-17T14:30:08-03:00,https://brasil.elpais.com/brasil/2019/03/15/cultura/1552681746_926411.html,cultura,Talvez a melhor explicação sobre a prodigiosa imaginação de
Ricardo olha para a tela do celular e diz: “Eu estou falando comigo mesmo”,"Em 'Ricardo e Vânia', de Chico Felitti, os outros lados da vida do Fofão da Augusta, incluindo a história do seu grande amor. Leia trecho",Chico Felitti,2019-03-18T19:15:05-03:00,https://brasil.elpais.com/brasil/2019/03/18/cultura/1552939185_343444.html,cultura,"O Cemitério São Bento, no centro de Araraquara (sp), tem um túmulo sem nome. É a segunda lápide da quarta quadra à esquerda, para quem entra pelo portão onde fica a barraquinha de garapa, ao lado da floricultura. A família do finado não tem 130 reais para pagar pela placa de identificação. Mas o homem cujas cinzas estão lá morreu com um nome: Ricardo Correa da Silva."
"A mecenas que levou a obra de 16 brasileiros ao Museu Reina Sofía, na Espanha","Patricia de Cisneiros, colecionadora venezuelana que fez a doação museu de Madri, afirma que nenhum local pode mais ignorar a arte do continente. “Tenho a sensação de missão cumprida""",Ángeles García,2019-03-27T11:44:07-03:00,https://brasil.elpais.com/brasil/2019/03/11/cultura/1552298934_664673.html,cultura,"Há pouco mais de um ano, Patricia Phelps de Cisneros (Caracas, 1947) dividiu 202 obras de artistas latino-americanos entre seis museus internacionais entre os quais se incluía o"
Rádios canadenses banem músicas de Michael Jackson da programação,Quebec Cogeco Media toma a decisão após queixas de ouvintes indignados com documentário sobre supostos abusos sexuais cometidos pelo cantor,Jaime Porras Ferreyra,2019-03-07T16:12:37-03:00,https://brasil.elpais.com/brasil/2019/03/06/cultura/1551902134_787786.html,cultura,"Desde a manhã da última segunda-feira,"
Quando os pais de Gabo perceberam que tinham um filho mentiroso,"Gustavo Tatis percorre o universo de García Márquez e seus segredos de família, intimamente ligados à obra que a Netflix adaptará para as telas",Jesús Ruiz Mantilla,2019-03-07T16:38:56-03:00,https://brasil.elpais.com/brasil/2019/03/06/cultura/1551888378_718292.html,cultura,Quando
A morte do inocente neto de Lula soltou os monstros do ódio,"Cai sobre nossa consciência de adultos a infâmia de transformar em piadas baratas, em ironia e sarcasmo a dor de um avô pela perda de seu neto",Juan Arias,2019-03-02T12:12:07-03:00,https://brasil.elpais.com/brasil/2019/03/02/opinion/1551487708_675741.html,opinion,"Sabíamos que no Brasil majoritariamente solidário, sensível à dor alheia e que ama seus pequenos, existiam monstros de ódio. Confesso, no entanto, que ignorava que fossem tantos e com tanta carga de sadismo. Estão sendo revelados pelos comentários sórdidos e até blasfemos, já que invocam a Deus como motivo da"
Por que o papa Francisco ordenou a abertura dos arquivos secretos do Vaticano sobre o Holocausto judeu?,Se Francisco realmente conseguir lançar luz sem esconder documentos em tudo o que ainda está oculto sobre o Holocausto e a Igreja passará à história,Juan Arias,2019-03-04T21:07:23-03:00,https://brasil.elpais.com/brasil/2019/03/05/opinion/1551743055_491891.html,opinion,No momento em que o papado de
Um tuíte muito vulgar,Bolsonaro lança cortina de fumaça nas redes sociais em detrimento da imagem institucional do Brasil,,2019-03-07T17:50:46-03:00,https://brasil.elpais.com/brasil/2019/03/07/opinion/1551926876_408228.html,opinion,"Nos apenas dois meses em que está no cargo, o presidente"
Greve de mulheres na redação do EL PAÍS,As jornalistas da redação do Brasil se somam à paralisação das mulheres do EL PAÍS da Espanha num ato solidário a todas as brasileiras que precisam se sentir reconhecidas em suas diferenças por viver a condição feminina,Carla Jiménez,2019-03-07T23:25:14-03:00,https://brasil.elpais.com/brasil/2019/03/07/opinion/1551992340_146907.html,opinion,As mulheres da
Igualdade radical,Movimento feminista impõe uma nova energia democratizante,El País,2019-03-07T20:00:00-03:00,https://brasil.elpais.com/brasil/2019/03/07/opinion/1551972628_054337.html,opinion,"Hoje,"
Mulheres e homens no trabalho doméstico não remunerado,"Apesar de todos os avanços das mulheres nos mais diversos campos sociais e das mudanças de comportamento da sociedade, o trabalho doméstico segue sendo responsabilidade feminina",Luana Pinheiro*,2019-03-09T12:34:06-03:00,https://brasil.elpais.com/brasil/2019/03/07/opinion/1551996217_433591.html,opinion,"Essas são falas conhecidas. Todas nós, mulheres, já as escutamos em algum almoço familiar, em conversas com amigos, nos nossos ambientes profissionais ou de nossos parceiros conjugais. Muitas vezes podemos até ter repetido algumas delas, dizendo como nossos companheiros são ""modernos” e menos enquadrados no padrão machista"
"Mulheres negras, as mais vulneráveis entre as mais vulneráveis","De acordo com o Ipea, a vulnerabilidade das mulheres negras ao desemprego é 50% maior que a da população em geral. Nas prisões, elas somam 62% do total",Dandara Tinoco,2019-03-09T12:56:50-03:00,https://brasil.elpais.com/brasil/2019/03/08/opinion/1552066061_520180.html,opinion,Lutas femininas por melhores condições de vida e trabalho estão na origem da criação de um
